seller_nickname,stock_total,precio_promedio,logistic_type_unique,pct_new,pct_refurbished,categorias_unicas,price_capped,stock_capped,price_log,stock_log,cluster
ecc1a5f3b8,7,601.1666666666666,1,1.0,0.0,1,601.1666666666666,7.0,6.400534261919585,2.079441541679836,0
ecc1ff1e83,32,307.3333333333333,2,1.0,0.0,5,307.3333333333333,32.0,5.731181448844316,3.49650756146648,1
ecc2835192,89916,1666.275238095238,2,1.0,0.0,4,1666.275238095238,19509.350000000013,7.418945978956841,9.878700372974444,1
ecc36b495d,19,128.5,1,1.0,0.0,2,128.5,19.0,4.863680881139593,2.995732273553991,0
ecc4d05bee,10,999.0,1,1.0,0.0,1,999.0,10.0,6.907755278982137,2.3978952727983707,0
ecc7b43416,1933,540.9769230769232,2,1.0,0.0,8,540.9769230769232,1933.0,6.295223423184355,7.56734567601324,6
eccabb1828,7,850.6666666666666,1,0.0,0.0,1,850.6666666666666,7.0,6.747195213969695,2.079441541679836,2
eccc0bc045,8,1717.8,1,1.0,0.0,2,1717.8,8.0,7.44938165190084,2.19722457733622,0
ecce2e1315,83,196.58272727272723,1,1.0,0.0,5,196.58272727272723,83.0,5.286157368905652,4.430816798843313,0
ecce6d6823,2,259.765,1,1.0,0.0,2,259.765,2.0,5.563619618592555,1.0986122886681098,0
ecd1fde899,163,181.0,1,1.0,0.0,1,181.0,163.0,5.204006687076795,5.099866427824199,0
ecd3890870,25,578.5,1,1.0,0.0,1,578.5,25.0,6.362165662779806,3.258096538021482,0
ecd3e329f8,482,1120.665,2,1.0,0.0,4,1120.665,482.0,7.022569467525513,6.180016653652572,1
ecd43e933c,1,897.5,1,0.0,0.0,1,897.5,1.0,6.800726706223614,0.6931471805599453,2
ecd49aa8b0,1,7999.0,1,0.0,0.0,1,7999.0,1.0,8.987196820661973,0.6931471805599453,2
ecd76936d6,14,900.0,1,1.0,0.0,1,900.0,14.0,6.803505257608338,2.70805020110221,0
ecd887e832,19,427.0625,1,0.125,0.0,4,427.0625,19.0,6.059269212958124,2.995732273553991,2
ecda778f2e,193437,299.76375,1,1.0,0.0,1,299.76375,19509.350000000013,5.706325072845449,9.878700372974444,0
ecdb50abf3,76,196.32857142857145,2,1.0,0.0,4,196.32857142857145,76.0,5.284870214650601,4.343805421853684,1
ecdb566e98,1,2300.0,1,0.0,0.0,1,2300.0,1.0,7.741099090035366,0.6931471805599453,2
ecdd6efe62,32,249.245,2,1.0,0.0,4,249.245,32.0,5.522440437975747,3.49650756146648,1
ecddc92f33,278,132.1457142857143,1,1.0,0.0,5,132.1457142857143,278.0,4.8914441246275,5.631211781821365,0
ecdf3c81c6,1,24500.0,1,0.0,0.0,1,24500.0,1.0,10.106469212026385,0.6931471805599453,2
ecdfe15679,83,458.0625,1,1.0,0.0,1,458.0625,83.0,6.129186366368196,4.430816798843313,0
ece0262b0f,1,1999.0,1,1.0,0.0,1,1999.0,1.0,7.600902459542082,0.6931471805599453,0
ece150173e,50,734.21,1,1.0,0.0,1,734.21,50.0,6.6001561726899975,3.9318256327243257,0
ece32270e4,10,650.0,1,1.0,0.0,1,650.0,10.0,6.478509642208569,2.3978952727983707,0
ece4695c61,48,570.0,1,1.0,0.0,1,570.0,48.0,6.3473892096560105,3.8918202981106265,0
ece6b98633,3,7499.0,1,1.0,0.0,1,7499.0,3.0,8.922658299524402,1.3862943611198906,0
ece757f5fd,1,,1,0.0,0.0,1,,1.0,,0.6931471805599453,2
ecea3b20cf,1,400.0,1,0.0,0.0,1,400.0,1.0,5.993961427306569,0.6931471805599453,2
ecedb47e36,18,269.0,1,1.0,0.0,1,269.0,18.0,5.598421958998375,2.9444389791664403,0
eceff3caf3,157,,1,1.0,0.0,1,,157.0,,5.062595033026967,0
ecf04710b1,3,463.91,1,1.0,0.0,1,463.91,3.0,6.141843838467353,1.3862943611198906,0
ecf3346d8c,100,411.3333333333333,1,1.0,0.0,1,411.3333333333333,100.0,6.021832083724378,4.61512051684126,0
ecf6177918,60,244.675,1,1.0,0.0,1,244.675,60.0,5.504009524248491,4.110873864173311,0
ecf6869d29,47,361.5,1,1.0,0.0,2,361.5,47.0,5.893024474294729,3.871201010907891,0
ecf6b119f1,1,7900.0,1,1.0,0.0,1,7900.0,1.0,8.974744612722734,0.6931471805599453,0
ecf8fffad7,1,1600.0,1,0.0,0.0,1,1600.0,1.0,7.378383712996714,0.6931471805599453,2
ecf98d46ab,1,404.1,1,1.0,0.0,1,404.1,1.0,6.004133950208645,0.6931471805599453,0
ecf99d72f3,17,195.5,1,1.0,0.0,1,195.5,17.0,5.280662431309316,2.8903717578961645,0
ecf9c11dd8,192,599.0,1,1.0,0.0,1,599.0,192.0,6.396929655216146,5.262690188904886,0
ecfa5ad282,990,174.0,1,1.0,0.0,2,174.0,990.0,5.1647859739235145,6.898714534329988,0
ecfb36f5fb,31,100.0,1,1.0,0.0,1,100.0,31.0,4.61512051684126,3.4657359027997265,0
ecfbd40f8b,2,549.0,1,1.0,0.0,1,549.0,2.0,6.309918278226516,1.0986122886681098,0
ecfbe27bb1,1,3000.0,1,0.0,0.0,1,3000.0,1.0,8.006700845440367,0.6931471805599453,2
