seller_nickname,stock_total,precio_promedio,logistic_type_unique,pct_new,pct_refurbished,categorias_unicas,price_capped,stock_capped,price_log,stock_log
cf0171ed88,1,189.9,1,1.0,0.0,1,189.9,1.0,5.251749730731702,0.6931471805599453
cf01eec88e,1651,507.6773333333333,1,1.0,0.0,5,507.6773333333333,1651.0,6.23181389281226,7.409741954080923
cf034009c9,73,1463.7125,1,1.0,0.0,2,1463.7125,73.0,7.289414256458666,4.30406509320417
cf0600a0e5,1,1000000.0,1,0.0,0.0,1,60062.99999999974,1.0,11.00316593938623,0.6931471805599453
cf09c6bab1,1,500.0,1,0.0,0.0,1,500.0,1.0,6.2166061010848646,0.6931471805599453
cf09ce87ec,1,3000.0,1,0.0,0.0,1,3000.0,1.0,8.006700845440367,0.6931471805599453
cf0a3dccc7,169,5237.764705882353,2,1.0,0.0,11,5237.764705882353,169.0,8.56384100637108,5.135798437050262
cf0d941b66,1,1695.0,1,1.0,0.0,1,1695.0,1.0,7.4360278163518485,0.6931471805599453
cf0e56383d,427,388.0833333333333,2,1.0,0.0,3,388.0833333333333,427.0,5.963793545182937,6.059123195581797
cf102fc6df,1253,2447.4015789473688,3,1.0,0.0,2,2447.4015789473688,1253.0,7.8031906738661725,7.134093721192866
cf113badf5,0,499.0,1,1.0,0.0,1,499.0,0.0,6.214608098422191,0.0
cf1144636e,160,105.73666666666668,2,1.0,0.0,3,105.73666666666668,160.0,4.670364741887793,5.081404364984463
cf1305d8a5,28,94.85000000000001,1,1.0,0.0,2,94.85000000000001,28.0,4.562784469491653,3.367295829986474
cf13880846,24,2183.3333333333335,1,1.0,0.0,1,2183.3333333333335,24.0,7.689065950371387,3.2188758248682006
cf169d28b0,2,14499.0,1,0.0,0.0,1,14499.0,2.0,9.581903928408666,1.0986122886681098
cf181dfbd2,1,9000000.0,1,0.0,0.0,1,60062.99999999974,1.0,11.00316593938623,0.6931471805599453
cf18311bd9,98,916.41,1,1.0,0.0,1,916.41,98.0,6.8215544824742755,4.59511985013459
cf185a9567,30,84.17999999999999,1,1.0,0.0,2,84.17999999999999,30.0,4.444766664495067,3.4339872044851463
cf19e91d8a,84,148.0,1,1.0,0.0,1,148.0,84.0,5.003946305945459,4.442651256490317
cf1d0ebca8,6,122.16,2,1.0,0.0,2,122.16,6.0,4.8134843230563,1.9459101490553132
cf21f01674,0,950.0,1,1.0,0.0,1,950.0,0.0,6.85751406254539,0.0
cf22c4d09c,101,71.77333333333333,3,1.0,0.0,3,71.77333333333333,101.0,4.287349587731973,4.624972813284271
cf24133f0a,1,1238.0,1,1.0,0.0,1,1238.0,1.0,7.122059881629142,0.6931471805599453
cf254bafbc,8,649.0,1,1.0,0.0,2,649.0,8.0,6.476972362889683,2.1972245773362196
cf2615f1cd,1,2902.5,1,1.0,0.0,1,2902.5,1.0,7.973672184812105,0.6931471805599453
cf270e7e62,612,143.48,2,1.0,0.0,4,143.48,612.0,4.973141089668675,6.418364935936212
cf273e2689,1,5199.0,1,1.0,0.0,1,5199.0,1.0,8.556413904569519,0.6931471805599453
cf2b0a0b8b,130,592.25,2,1.0,0.0,1,592.25,130.0,6.385615895315873,4.875197323201151
cf2cfd998e,1,999.0,1,0.0,0.0,1,999.0,1.0,6.907755278982137,0.6931471805599453
cf2d05fc8f,0,243.18,1,1.0,0.0,1,243.18,0.0,5.497905658240709,0.0
cf3598756e,1,1065.0,1,1.0,0.0,1,1065.0,1.0,6.97166860472579,0.6931471805599453
cf3646b2b7,1,750.0,1,0.0,0.0,1,750.0,1.0,6.621405651764134,0.6931471805599453
cf37a06796,97,549.0,1,1.0,0.0,1,549.0,97.0,6.309918278226516,4.584967478670572
cf3a3554f9,142,2746.725294117647,1,1.0,0.0,2,2746.725294117647,142.0,7.918528682594839,4.962844630259907
cf3e2f3cfa,4,134.1,1,1.0,0.0,1,134.1,4.0,4.906015244966153,1.6094379124341003
cf3e5fd01a,1000,315.76,1,1.0,0.0,1,315.76,1000.0,5.7581443893422115,6.90875477931522
cf3e64c438,97,77.0,1,1.0,0.0,1,77.0,97.0,4.356708826689592,4.584967478670572
cf3f27e82a,1,2000.0,1,0.0,0.0,1,2000.0,1.0,7.601402334583733,0.6931471805599453
cf3f473298,80,799.0,1,1.0,0.0,1,799.0,80.0,6.684611727667927,4.394449154672439
cf3facdad7,24,938.125,1,1.0,0.0,2,938.125,24.0,6.844948590689325,3.2188758248682006
cf404325f1,1,1100.0,1,0.0,0.0,1,1100.0,1.0,7.00397413672268,0.6931471805599453
cf43424ed4,1,1169.1,1,1.0,0.0,1,1169.1,1.0,7.0648444942249125,0.6931471805599453
cf446b1b80,1,800.0,1,0.0,0.0,1,800.0,1.0,6.68586094706836,0.6931471805599453
cf44d7bce6,244,2543.5,1,1.0,0.0,3,2543.5,244.0,7.841689446028887,5.501258210544727
cf4646d74e,391,794.9434782608696,2,1.0,0.0,6,794.9434782608696,391.0,6.679528176113289,5.971261839790462
